marka,seri,model,baslik,yil,km,fiyat,il_ilce,image_path
Hyundai,Accent,Blue 1.6 Crdi Mode Plus,2016 BİNİCİ İÇİN TEMİZ OTOMATİK ACCENT BLUE,2016,235000,565000,Gaziantep Şehitkamil,data/processed_images/car_20250130_125106_page_1_idx_0.jpg
Ford,Focus,1.5 Tdci Trend X,Galeriden Ford Focus 1.5 TDCi Trend X 2018 Model Diyarbakır,2018,156000,875000,Diyarbakır Bismil,data/processed_images/car_20250130_125106_page_1_idx_1.jpg
Renault,Clio,0.9 Tce Joy,2020 RENAULT CLİO JOY 0.9 TCE 110.000 KM AĞIR BAKIMLARI YENİ MASRAFSIZ,2020,110000,609000,İzmir Menderes,data/processed_images/car_20250130_125106_page_1_idx_2.jpg
Peugeot,508,1.6 E-Hdi Active,HATASIZ BOYASIZ PEUGEOT 508DİZEL OTOMATİK ACTİVE PAKET FULL+FULL,2015,179000,920000,Isparta Merkez,data/processed_images/car_20250130_125106_page_1_idx_3.jpg
Volkswagen,Jetta,1.2 Tsi Bluemotion Trendline,Volkswagen Jetta 1.2 TSi BlueMotion İlk sahibinden,2016,132000,747500,Malatya Doğanşehir,data/processed_images/car_20250130_125106_page_1_idx_4.jpg
Nissan,Micra,1.2 Match,Galeriden Nissan Micra 1.2 Match 2018 Model Bursa,2018,65000,767000,Bursa Osmangazi,data/processed_images/car_20250130_125106_page_1_idx_5.jpg
Nissan,Micra,1.2 Passion,Galeriden Nissan Micra 1.2 Passion 2006 Model İzmir,2006,126500,529999,İzmir Buca,data/processed_images/car_20250130_125106_page_1_idx_6.jpg
Renault,Clio,1.3 Tce Touch,ŞAKİR OTODAN 2020 MODEL RENAULT CLİO 1.3 TCE TOUCH PAKET,2020,125000,895000,Bursa Osmangazi,data/processed_images/car_20250130_125106_page_1_idx_7.jpg
Renault,Clio,1.5 Dci Icon,SİNAN AUTO DAN ÇOK TEMİZ CLİO,2017,184000,670000,Muş Merkez,data/processed_images/car_20250130_125106_page_1_idx_8.jpg
Renault,Megane,1.5 Dci Joy,SİNAN AUTO DAN HATASIZ AYARINDA MEGANE 4,2018,164000,850000,Muş Merkez,data/processed_images/car_20250130_125106_page_1_idx_9.jpg
Volkswagen,Passat,2.0 Tdi Bluemotion Comfortline,Galeriden Volkswagen Passat 2.0 TDi BlueMotion Comfortline 2019 Model İstanbul 117.670 km Beyaz,2019,117670,1395000,İstanbul Beylikdüzü,data/processed_images/car_20250130_125106_page_1_idx_10.jpg
Toyota,Auris,1.4 D-4D Comfort,2008 MODEL AURİS - OTOMATİK VİTES - COMFORT,2008,307000,485000,Yozgat Sorgun,data/processed_images/car_20250130_125106_page_1_idx_11.jpg
Fiat,500,Ailesi 500L 1.3 Mjet Popstar,2014 MODEL 1.3 MULTİJET FİAT 500 L BAKIMLI 218.000 BİN KM DE,2014,218404,585000,Antalya Alanya,data/processed_images/car_20250130_125106_page_1_idx_12.jpg
Peugeot,308,1.6 Thp Feeline Plus,Sahibinden Peugeot 308 1.6 THP Feeline Plus 2011 Model,2011,180000,650000,İstanbul Esenyurt,data/processed_images/car_20250130_125106_page_1_idx_13.jpg
Nissan,Micra,1.2 Mood,Sahibinden Nissan Micra 1.2 Mood 2007 Model İstanbul,2007,213600,340000,Sakarya Karasu,data/processed_images/car_20250130_125106_page_1_idx_14.jpg
Skoda,Octavia,1.6 Tdi Style,NAZAR'DAN?2019 Octavia 1.6 TDİ Style Dsg Servis Bakımlı Kat.Ayna,2019,165000,1269000,Adıyaman Besni,data/processed_images/car_20250130_125106_page_1_idx_15.jpg
Volvo,S60,1.6 D Advance,NAZAR'DAN?2015 Volvo S60 1.6 D Advance Hafıza Koltuk Otm.Vites,2015,310000,799000,Adıyaman Besni,data/processed_images/car_20250130_125106_page_1_idx_16.jpg
Volkswagen,Jetta,1.6 Tdi Comfortline,NAZAR'DAN?2015 Jetta 1.6 TDİ Comfortline DSG Sunroof İçi Bej,2015,103000,1259000,Adıyaman Besni,data/processed_images/car_20250130_125106_page_1_idx_17.jpg
Volkswagen,Golf,1.6 Tdi Bluemotion Midline Plus,NAZAR'DAN?2015 Golf 1.6 TDİ Bluemotion Midline Plus Bakımlı,2015,233000,759000,Adıyaman Besni,data/processed_images/car_20250130_125106_page_1_idx_18.jpg
Volkswagen,Passat,1.6 Tdi Bluemotion Comfortline,ÖzÇETİN AUTO DAN HATASIZ PASSAT TAKAS DEĞERLENDİRİLİR,2015,235000,1029000,Şanlıurfa Birecik,data/processed_images/car_20250130_125106_page_1_idx_19.jpg
Volkswagen,Passat,Variant 1.6 Tdi Bluemotion Comfortline,18AY TAKSİTLE BOYASIZ-HATASIZ CAM TAVAN DİZEL OTOMATİK PASSAT B8,2015,166000,1200000,İstanbul Bağcılar,data/processed_images/car_20250130_125106_page_1_idx_20.jpg
Bmw,5 Serisi,520D Premium,2011 MODEL HATASIZ BOYASIZ BMW 5.20D DIŞ M İÇ BEJ SUNROOF COBRA,2011,313000,1275000,Ankara Çankaya,data/processed_images/car_20250130_125106_page_1_idx_21.jpg
Renault,Clio,1.5 Dci Touch,Özgür OTOMOTİVDEN CLİO TOUCH 1.5 dcı,2018,216000,615000,Kocaeli İzmit,data/processed_images/car_20250130_125106_page_1_idx_22.jpg
Volkswagen,Golf,1.4 Tsi Highline,Volkswagen Golf 1.4 TSi Highline Cam Tavan,2013,175000,1000000,İzmir Bergama,data/processed_images/car_20250130_125106_page_1_idx_23.jpg
Renault,Clio,1.5 Dci Icon,HATASIZ RENAULT CLİO 1.5DCİ İCON 90HP START&STOP İÇİ KIRMIZI K.K 9 TAKSİT..,2013,177000,615000,İstanbul Bağcılar,data/processed_images/car_20250130_125106_page_1_idx_24.jpg
Renault,Clio,1.5 Dci Joy,GALERİ PLUS'TAN 2018 Renault Clio JOY 1.5 DCİ Manuel,2018,122000,625000,Konya Karatay,data/processed_images/car_20250130_125106_page_1_idx_25.jpg
Mercedes-Benz,C,200 Amg,"2022 MODEL-32,000 km-AMG-EQ HYBRİD-4MATİC-C.TAVAN+ISITMA+SOĞUTMA",2022,32000,2820000,İstanbul Ataşehir,data/processed_images/car_20250130_125106_page_1_idx_26.jpg
Citroen,C3,1.2 Puretech Shine,-HATASIZ-BOYASIZ-TRAMERSİZ-OTOMATİK-2019-SHİNE PAKET-84.000 KMDE,2019,84000,895000,Konya Karatay,data/processed_images/car_20250130_125106_page_1_idx_27.jpg
